release_id,artist,title,year,format,lowest_gbp,num_for_sale
26830313,Sault,11,2023,"LP, Album",17.2,36
26953016,Sault,Untitled (God),2023,"2xLP, Album",19.99,80
28703536,Various,Let's Dance Vol. 1,2024,"12""",13.3,10
19646677,Opolopo,Matinee Idol,2021,"12"", Promo",24.09,4
26250134,Koichi Toyama,AB79 Edits,2023,"12"", Ltd, Promo",8.93,13
12862856,Dimitri From Paris,Le Chic Remix,2018,"5x12"", Comp, RM, 180 + Box, Ltd, Num",250.0,7
15490608,Horse Meat Disco & Kathy Sledge,Jump Into The Light / Falling Deep In Love,2020,"7""",13.04,6
87902,Loleatta Holloway,Love Sensation,1980,"12"", Single, Ind",3.7,13
15545723,Matthew Halsall & The Gondwana Orchestra feat. Josephine Oniyama,Badder Weather / As I Walk,2020,"7"", Single, Ltd",12.15,15
25238014,Matthew Halsall,Changing Earth EP,2022,"12"", EP, Ltd",30.0,5
28250857,Matthew Halsall,An Ever Changing View,2023,"2xLP, Album",21.51,26
24607346,Various,Groovin Boogie Classics,2022,"12""",10.33,18
16279602,Doves,Lost Souls ,2020,"2xLP, Album, RE",46.18,1
13697174,Doves,The Last Broadcast,2019,"2xLP, Album, Ltd, Num, RE, Ora",25.93,23
14851934,The Orielles,Disco Volador,2020,"LP, Album, Ltd, Tra",9.99,38
23507759,Colleen Murphy,Balearic Breakfast Vol:1,2022,"2xLP, Comp",148.0,3
27308496,Colleen Murphy,Balearic Breakfast Vol:2,2023,"2xLP, Comp, Ltd",141.61,3
30896865,Colleen Murphy,Balearic Breakfast Vol:3,2024,"2xLP, Comp",60.23,8
35401273,Matt Wilde (2),Find A Way,2025,"LP, Album",17.4,15
1524586,George McCrae / Betty Wright,Rock Your Baby / Where Is The Love,1990,"12""",3.12,25
18569272,Comb (4),Por Amor,2021,"12"", EP",81.74,1
28176592,Comb (4),I Know You Feel It,2023,"7""",17.88,2
35511595,Comb (4),Stand,2025,"12"", EP",9.99,20
33967002,Chaos In The Cbd,A Deeper Life,2025,"2xLP, Album, Ltd, Gat",102.4,5
34067191,Resavoir & Matt Gold,Horizon,2025,"LP, Album",17.72,32
