Catalog#,Artist,Title,Label,Format,Rating,Released,release_id,CollectionFolder,Date Added,Collection Media Condition,Collection Sleeve Condition,Collection Notes
GAMM171,Koichi Toyama,AB79 Edits,G.A.M.M.,"12"", Ltd, Promo",,2023,26250134,Uncategorized,2023-03-03 11:25:56,,,
DGLIB12B,Dimitri From Paris,Le Chic Remix,Glitterbox,"5x12"", Comp, RM, 180 + Box, Ltd, Num",,2018,12862856,Uncategorized,2019-02-23 12:27:55,,,
GLITS055,Horse Meat Disco & Kathy Sledge,Jump Into The Light / Falling Deep In Love,Glitterbox,"7""",,2020,15490608,Uncategorized,2020-06-23 12:35:22,,,
GG 505,Loleatta Holloway,Love Sensation,Gold Mind Records,"12"", Single, Ind",,1980,87902,Uncategorized,2019-02-23 12:18:04,,,
GOND07003,Matthew Halsall & The Gondwana Orchestra feat. Josephine Oniyama,Badder Weather / As I Walk,Gondwana Records,"7"", Single, Ltd",,2020,15545723,Uncategorized,2020-07-04 22:07:47,,,
GONDEP055,Matthew Halsall,Changing Earth EP,Gondwana Records,"12"", EP, Ltd",,2022,25238014,Uncategorized,2023-03-16 12:40:45,,,
GONDLP062,Matthew Halsall,An Ever Changing View,Gondwana Records,"2xLP, Album",,2023,28250857,Uncategorized,2023-09-30 10:41:11,,,
GR-1295,Various,Groovin Boogie Classics,Groovin Recordings,"12""",,2022,24607346,Uncategorized,2022-10-28 06:49:02,,,
0856866,Doves,Lost Souls ,Heavenly,"2xLP, Album, RE",,2020,16279602,Uncategorized,2024-11-12 11:55:24,,,
7748263,Doves,The Last Broadcast,Heavenly,"2xLP, Album, Ltd, Num, RE, Ora",,2019,13697174,Uncategorized,2019-06-01 08:59:41,,,
HVNLP176C,The Orielles,Disco Volador,Heavenly,"LP, Album, Ltd, Tra",,2020,14851934,Uncategorized,2020-12-11 14:25:41,,,
HVNLP197,Colleen Murphy,Balearic Breakfast Vol:1,Heavenly,"2xLP, Comp",,2022,23507759,Uncategorized,2022-06-23 03:49:47,,,
HVNLP212,Colleen Murphy,Balearic Breakfast Vol:2,Heavenly,"2xLP, Comp, Ltd",,2023,27308496,Uncategorized,2023-06-09 14:01:28,,,
HVNLP224,Colleen Murphy,Balearic Breakfast Vol:3,Heavenly,"2xLP, Comp",,2024,30896865,Uncategorized,2024-06-29 14:37:09,,,
HW001,Matt Wilde (2),Find A Way,Hello World Records,"LP, Album",,2025,35401273,Uncategorized,2025-11-06 14:18:16,,,
HCL 2219,George McCrae / Betty Wright,Rock Your Baby / Where Is The Love,Hot Classics,"12""",,1990,1524586,Uncategorized,2019-02-23 12:20:16,,,
ITTY01,Comb (4),Por Amor,I Travel to You,"12"", EP",,2021,18569272,Uncategorized,2021-08-14 03:44:57,,,
ITTY03,Comb (4),I Know You Feel It,I Travel to You,"7""",,2023,28176592,Uncategorized,2023-09-27 07:04:48,,,
ITTY08,Comb (4),Stand,I Travel to You,"12"", EP",,2025,35511595,Uncategorized,2025-11-07 11:57:02,,,
IDWTLP001X,Chaos In The Cbd,A Deeper Life,In Dust We Trust,"2xLP, Album, Ltd, Gat",,2025,33967002,Uncategorized,2025-05-22 06:21:50,,,
IARC0096,Resavoir & Matt Gold,Horizon,International Anthem Recording Company,"LP, Album",,2025,34067191,Uncategorized,2025-10-17 08:51:28,,,
IARC0100,Gilles Peterson,International Anthem,International Anthem Recording Company,"2xLP, RSD, Comp, Ltd, Fro",,2025,33680523,Uncategorized,2025-04-22 04:38:17,,,
