Catalog#,Artist,Title,Label,Format,Rating,Released,release_id,CollectionFolder,Date Added,Collection Media Condition,Collection Sleeve Condition,Collection Notes
STARSON001,Common Saints (2),Idol Eyes,Starsonics,"12"", EP, Ltd, RP, Whi",,2021,18423841,Uncategorized,2021-06-10 03:16:26,,,
STH2478,Eddie Chacon,Sundown,Stones Throw Records,"LP, Album",,2023,26158601,Uncategorized,2023-04-28 07:29:56,,,
STRUT205LP,Patrice Rushen,Remind Me (The Classic Elektra Recordings 1978-1984),Strut,"3xLP, Comp, RM",,2019,13895640,Uncategorized,2019-07-20 15:48:57,,,
STRUT212LP,Greg Foat,Symphonie Pacifique,Strut,"2xLP, Album",,2020,15564568,Uncategorized,2020-07-12 20:11:50,,,
STRUT343LP,Greg Foat & Gigi Masin,The Fish Factory Sessions,Strut,"LP, Album, RSD, Ltd, Tra",,2024,30421574,Uncategorized,2024-04-20 13:05:37,,,
BK 043,Oneness (6),Watching You,Sugar's International,"12"", RE",,2021,20519623,Uncategorized,2022-05-09 11:51:07,,,
SUN7001,Sunlightsquare,I Believe In Miracles,Sunlightsquare Records,"7"", Single, Red",,2020,15042510,Uncategorized,2020-05-05 13:09:42,,,
 SJAM12001,The CJP Band Ft Nolo (10),You And Me And The Music ,Supa Jams,"12"", Single",,2025,34808264,Uncategorized,2025-11-07 11:56:37,,,
MLP 15.906,Bill Withers,+'Justments,Sussex,"LP, Album, RE",,1975,1874974,Uncategorized,2019-02-23 12:36:04,,,
SFA002,Vincent Arthur & Dagomba,Travel With The Music,Sweet Free Association,"12""",,2024,32535108,Uncategorized,2026-02-14 09:00:41,,,
"TK-603, T.K.-603",KC & The Sunshine Band,KC And The Sunshine Band,"T.K. Records, T.K. Records","LP, Album, Mon",,1975,2930315,Uncategorized,2019-02-23 12:30:04,,,
"T316L, 00602577163395",Marvin Gaye,You're The Man,"Tamla, Motown, Universal Music Group","2xLP, Album, Comp",,2019,13412384,Uncategorized,2019-04-04 18:22:06,,,
T 326L,Stevie Wonder,Innervisions,"Tamla, Tamla Motown","LP, Album, Gat",,1973,1725651,Uncategorized,2019-02-23 12:32:45,,,
DRP007,Fat Freddy's Drop,Based On A True Story,The Drop,"2xLP, Album, RE",,2009,6247384,Uncategorized,2019-04-26 13:53:14,,,
0602547311009,Kendrick Lamar,To Pimp A Butterfly,"Top Dawg Entertainment, Aftermath Entertainment, Interscope Records","2xLP, Album, Gat",,2015,7568442,Uncategorized,2020-06-03 10:11:37,,,
TB 20,Shy One (3),Mali,Touching Bass,LP,,2026,36802948,Uncategorized,2026-06-28 11:14:33,,,
TOYT 081,The Phenomenal Handclap Band,Judge Not (Ray Mang Mixes),Toy Tonics,"12""",,2018,12638505,Uncategorized,2019-04-09 15:26:39,,,
TRU LP 007,Bonobo,Animal Magic,Tru Thoughts,"2xLP, Ltd, RE, Yel",,2019,13973334,Uncategorized,2020-03-13 20:27:27,,,
12RSDUNO1,Bobbi Humphrey,Baby Don't You Know,Uno Melodic Records,"12"", RSD, Single, Ltd, Num, RE",,2022,22984388,Uncategorized,2022-04-25 03:18:20,,,
VAMPI343,Jorge Ben,Jorge Ben,Vampi Soul,"LP, Album, RE",,2026,36588826,Uncategorized,2026-05-31 01:41:44,,,
VR204,Incognito,Wake Me (Louie Vega & Joe Claussell Remix),Vega Records,"12""",,2020,16193479,Uncategorized,2021-02-13 01:20:16,,,
VRADE20-7,Elements Of Life (3),Maria Fumaca / Giant Steps (Tito Puente Tribute),Vega Records,"7""",,2025,35486398,Uncategorized,2025-11-23 09:33:48,,,
CHARM1LP,Jim,Love Makes Magic,Vicious Charm Recordings,"LP, Album",,2023,27505026,Uncategorized,2023-06-28 14:51:44,,,
VC 007,Jim,Phoenix,Vicious Charm Recordings,"12""",,2023,28497052,Uncategorized,2023-10-20 13:46:22,,,
MR-SSS 546 ,Marcos Valle,Vontade De Rever Você,ViNiLiSSSiMO,"LP, Album, RSD, RE",,2017,10153482,Uncategorized,2019-06-09 17:18:50,,,
00602547240842,D'Angelo,Voodoo,"Virgin, Universal Music Group International","2xLP, Album, RE, 180",,2015,7427994,Uncategorized,2025-10-18 08:31:02,,,
Wack 18,Smoove,A Quest Called Tribe,Wack Records,"7"", Single, Promo, Unofficial",,2020,15035253,Uncategorized,2020-04-11 13:31:29,,,
WAHLP032,Lawne,Attic,Wah Wah 45s,"LP, Album",,2024,32212869,Uncategorized,2024-12-31 03:50:13,,,
925 162-1,Chaka Khan,I Feel For You,Warner Bros. Records,"LP, Album",,1984,700471,Uncategorized,2019-02-23 12:23:30,,,
"K56344, K 56344",Fleetwood Mac,Rumours,"Warner Bros. Records, Warner Bros. Records","LP, Album",,1977,503889,Uncategorized,2019-02-23 12:47:51,,,
"K 56823, K56823",George Benson,Give Me The Night,"Warner Bros. Records, Warner Bros. Records, Qwest Records, Qwest Records","LP, Album",,1980,4954046,Uncategorized,2019-02-23 12:36:51,,,
WARPLP324,Nala Sinephro,Space 1.8,Warp Records,"LP, Album",,2021,20067715,Uncategorized,2022-02-22 10:42:29,,,
WMR-016,Teymori,Teymori,Wax Museum Records,"12"", EP",,2019,13147887,Uncategorized,2019-03-15 20:42:25,,,
ROAD027,Lovebirds Feat. Stee Downes,Want You In My Soul,Winding Road Records,"12""",,2011,2915410,Uncategorized,2025-10-15 05:55:40,,,
WOLFW001 ,Red Rack'Em,In Love Again ,Wolf Music Recordings,"12"", RP",,2020,16498887,Uncategorized,2021-05-05 06:27:50,,,
WOE027,Tara Clerkin Trio,Somewhere Good,World Of Echo (2),"LP, Album",,2026,37525128,Uncategorized,2026-06-28 11:16:11,,,
"ORL 6022, MRBLP220SP",Mankunku Quartet,Yakhal' Inkomo,"World Record Co., Mr Bongo","LP, Album, RE, S/Edition",,2022,23481923,Uncategorized,2024-02-28 13:22:36,,,
XLLP 324,Radiohead,In Rainbows,XL Recordings,"LP, Album, RE, RP",,2022,22587962,Uncategorized,2025-02-09 03:51:16,,,
XLLP790X,Radiohead,A Moon Shaped Pool,XL Recordings,"2xLP, Album, Ltd, Whi",,2016,8666501,Uncategorized,2020-06-24 11:24:20,,,
ZEDD12304,Leroy Burgess,One Plus One,Z Records,"12""",,2020,16298872,Uncategorized,2020-12-11 14:33:07,,,
ZEDDLP038X,Joey Negro,Remixed With Love By Joey Negro (Vol. Two) (Part B),Z Records,"2x12"", Comp, Gat",,2016,8117597,Uncategorized,2019-07-01 11:44:25,,,
ZEDDLP045,Joey Negro,Remixed With Love By Joey Negro (Vol. Three) (Part One),Z Records,"2x12"", Comp",,2018,12687173,Uncategorized,2019-02-23 12:08:02,,,
ZEDDLP063,Dave Lee,Remixed With Love By Dave Lee (Selected Works) ,Z Records,"2x12"", Comp, Ltd, RE, Gat",,2026,37016478,Uncategorized,2026-04-11 07:19:54,,,
